 code lot_size stock_name
0 SZ.000001 100 平安银行
1 SZ.000002 100 万科A
2 SZ.000063 100 中兴通讯
3 SZ.000333 100 美的集团
4 SZ.000651 100 格力电器
5 SZ.000725 100 京东方A
6 SZ.000776 100 广发证券
7 SZ.000858 100 五粮液
8 SZ.002024 100 苏宁云商
9 SZ.002415 100 海康威视
10 SZ.300059 100 东方财富
11 SZ.300498 100 温氏股份
12 SH.600000 100 浦发银行
13 SH.600015 100 华夏银行
14 SH.600016 100 民生银行
15 SH.600019 100 宝钢股份
16 SH.600028 100 中国石化
17 SH.600030 100 中信证券
18 SH.600036 100 招商银行
19 SH.600048 100 保利地产
20 SH.600050 100 中国联通
21 SH.600104 100 上汽集团
22 SH.600276 100 恒瑞医药
23 SH.600309 100 万华化学
24 SH.600519 100 贵州茅台
25 SH.600837 100 海通证券
26 SH.600887 100 伊利股份
27 SH.600900 100 长江电力
28 SH.601006 100 大秦铁路
29 SH.601088 100 中国神华
30 SH.601166 100 兴业银行
31 SH.601169 100 北京银行
32 SH.601186 100 中国铁建
33 SH.601211 100 国泰君安
34 SH.601288 100 农业银行
35 SH.601318 100 中国平安
36 SH.601328 100 交通银行
37 SH.601390 100 中国中铁
38 SH.601398 100 工商银行
39 SH.601601 100 中国太保
40 SH.601628 100 中国人寿
41 SH.601668 100 中国建筑
42 SH.601688 100 华泰证券
43 SH.601766 100 中国中车
44 SH.601800 100 中国交建
45 SH.601818 100 光大银行
46 SH.601857 100 中国石油
47 SH.601988 100 中国银行
48 SH.601989 100 中国重工
49 SH.601998 100 中信银行
